deliveroo_restaurant,supy_branch,confirmed
20Ft Fried Chicken - Boxpark,Black Bear Burger Shoreditch,yes
Black Bear Burger - Boxpark,Black Bear Burger Shoreditch,yes
20Ft Fried Chicken - Brixton,Black Bear Burger Brixton,yes
Black Bear Burger - Brixton,Black Bear Burger Brixton,yes
20Ft Fried Chicken - Camden,Black Bear Burger Camden,yes
Black Bear Burger Camden High Street,Black Bear Burger Camden,yes
20Ft Fried Chicken - Oxford Street,20ft Chicken Oxford St,yes
Black Bear Burger - Oxford Street,20ft Chicken Oxford St,yes
20Ft Fried Chicken - Paddington,Black Bear Burger Paddington,yes
Black Bear Burger - Paddington,Black Bear Burger Paddington,yes
Black Bear Burger - Canary Wharf,Black Bear Burger Canary Wharf,yes
Black Bear Burger - Exmouth Market,Black Bear Burger Exmouth Market,yes
Black Bear Burger - Victoria,Black Bear Burger Victoria,yes
Black Bear Burger - Westfield,Black Bear Burger Westfield,yes
20Ft Fried Chicken - Westfield,Black Bear Burger Westfield,"yes - absent from client location table; merge confirmed by team 2026-08-26"
