item_name,plu
Regular Fries,1
Black Bear Burger - Single,2
Single - Black Bear,2
Black Bear - Single Patty,2
Black Bear - Single,2
Black Bear,2
Miso Bacon Burger - Single,3
Miso Bacon Burger - Double,4
Cheeseburger - Single,5
Cheeseburger,5
Lunch Special,6
Single - Miso Bacon Burger,7
Miso Bacon Burger,7
Single - Black Bear Burger,8
Cajun Fries,9
Black Bear Burger - Double,10
Double - Black Bear,10
Black Bear - Double,10
Dbl Black Bear,10
Garlic & Parmesan,11
Garlic & Parmesan Fries,11
Double - Miso Bacon Burger,12
131.0,13
Black & Blue - Single,13
Black & Blue,13
Single - Cheeseburger,14
Double - Black Bear Burger,15
Black & Blue Burger - Double,16
Black & Blue - Double,16
Cheeseburger - Double,17
Dbl Cheeseburger,17
Single - Black & Blue Burger,18
Double - Cheeseburger,19
Dalstons Soda,20
Oreo,21
Oreo Milkshake,21
Kids Meal,22
Double - Black & Blue Burger,23
Vanilla,24
Vanilla Milkshake,24
Chocolate,25
Chocolate Milkshake,25
Still Water,26
Plain Burger,27
Plain Chicken Burger,27
Garlic Mayo,28
Sparkling Water,29
Buffalo Hot Sauce,30
Burger Sauce,31
Bbq,32
Blue Cheese Sauce,33
Extra Pattie,34
Triple - Cheeseburger,35
Honey Mayo,36
Miso Mayo,37
Extra Pattie,38
Add Bacon,39
Add Bacon,40
Staff - Cheeseburger,41
Staff - Miso Bacon Burger,42
Staff - Black & Blue,43
Staff -  Black & Blue,43
Staff - Black Bear,44
Burger & Fries,45
Triple - Miso Bacon Burger,46
Miso Bacon Burger - Triple,46
Blue Cheese,47
Dr Pepper,48
Tenders,49
House Chicken,50
Cajun Fries W/ Habanero Honey Mayo,51
Hot Honey 🔥🔥,52
20ft Hot Chicken Burger,53
Buffalo & Blue Cheese Wings,54
Green Chilli Sando,55
Green Chilli Chicken 🔥,55
Single Wing,56
Maple Sriracha Wings,57
Slaw,58
Chicken Spring Roll,59
Habanero Honey Mayo,60
Triple - Black Bear,61
Pickle Pepper Mayo,62
20 Ft Fried Sando,63
20ft Fried Sando,63
Maple Sriracha,64
Maple Siracha,64
Special Wings,65
Wings - Special,65
Hot Honey Chicken Burger + Fries,66
Hot Honey Chicken Burger & Fries,66
Staff - Hot Honey Chicken Burger,67
Staff - House Chicken Burger,68
Ranch Sauce,69
20ft Fried Chicken 🔥🔥,70
Staff Meal Token,71
House Chicken Burger & Fries,72
Bacon Cheeseburger & Fries,73
Staff - Plain Burger,74
Single - Black & Blue,75
Double - Black & Blue,76
Bacon,77
20ft Hot Chicken Burger & Fries,78
Classic Cheesburger & Fries,79
Add Cheese,80
Triple - Black Bear Burger,81
Pattie,82
Fries,83
Peach,84
Wings - Buffalo,85
Blue,86
Dbl Miso,87
20ft Burger,88
Miso,89
Hot Honey,90
Dbl Blue,91
Wings - Maple,92
20ft Sando,93
Spring Roll,94
Rhubarb,95
Buffalo,96
Ranch,97
Habanero,98
Add Pattie,99
Staff - Blue,100
Staff - Miso,101
Staff - Hot Honey,102
Lunch Deal,103
Water,104
Rio,105
Plain Beef Burger,106
Bb Feast For 4,107
Add Extra Pattie,108
Add Extra Pattie,108
Staff - House Chicken,109
Wing Wednesday,110
Cheeseburger Platter,111
Fries Platters,112
Chicken Burger Platter,113
Staff - Plain Beef Burger,114
Dalston's Rhubarb,115
Magic Tenders,116
Magic Wings,117
Free Dbl Miso,118
Feast For 4,119
"Big Kid's' Meal - Cheeseburger, Fries & Drink",120
Kids Meal - Plain Beef Burger & Fries,121
Kids Meal - Plain Chicken Burger + Fries,122
"Kids Tenders Meal - 2 Tenders, Dip & Fries",123
Kids Meal - Plain Beef Burger + Fries,121
Voucher Spend Topup,124
Tenders Meal,123
Big Kids Meal,125
Kids Meal - Plain Chicken Burger & Fries,122
"Big Kids Meal -  Cheeseburger, Fries & Drink",120
Miso Bacon Burger Platter,126
20ft Feast For 4,127
Family Bundle,128
"Family Bundle - 4 Burgers, 4 Fries & 4 Soft Drinks",129
Lunch Meal Deal,130
Black Bear Burger,2
Black & Blue Burger,131
Miso Butter Mayo,132
Coke,133
Diet Coke,134
Meal Deal,130
Special - National Burger Day,135
