category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
FF Beverages,2376875,Alokozay Cola,6.0,"","","",""
Cold Beverages,2553142,Alokozay Cola,6.0,"","","",Finished Good
Beverages - المشروبات  ,2831364, Alokozay Light  الكوزي لايت,4.0,"","","",""
Beverages - المشروبات  ,2281091,Alokozay    الكوزي,4.0,"","","",Finished Good
Dishes,2230560,BYO Fattet Hummus,29.0,"","","",Recipe
KA'AK Sesame Buns,1881748,Chicken Liver KA'AK,15.0,"","","",Recipe
Pockets,1319309,Chicken Liver Pocket,15.0,"","","",Recipe
Dishes - الأطباق ,1415552,Chicken Musakhan pl. صحن مسخن دجاج ,31.0,"","","",Recipe
Sides,2113797,Chili Pickles,6.0,"","","",Recipe
KAAK Buns - كعك بالسمسم ,2837868,Chili potatoes KAAKبطاطا حارة كعك,11.0,"","","",Recipe
Pockets - البوكيت,2837436,Chili potatoes Pocketبطاطا حارة بوكيت,11.0,"","","",Recipe
Sandwiches - السندويشات,2415010,Chili potatoes s/wبطاطا حارة ساندويتش,11.0,"","","",Recipe
Tanoor Wraps - راب التنور  ,2837128,Chili potatoes Wrap بطاطا حارة راب,12.0,"","","",Recipe
Condiments,2113844,Chili Sauce,2.0,"","","",Recipe
Falafels,1000159,Classic Falafel 1 Piece ,1.0,"","","",Recipe
Falafels - الفلافل ,1415478, Classic Falafel pl. صحن فلافل كلاسيك ,10.0,"","","",Recipe
Sandwiches,1818487,Classic Falafel Sandwich,10.0,"","","",Recipe
B STAFF MEALS - وجبات الموظفين ,2834260, Classic falafel s/w كلاسيك فلافل ساندويتش STAFF MEAL,0.0,"","","",Recipe
S STAFF MEALS - وجبات الموظفين,2861834,Classic falafel s/w كلاسيك فلافل ساندويتش STAFF MEAL,0.0,"","","",Recipe
Z STAFF MEALS - وجبات الموظفين,2902618,Classic falafel s/w كلاسيك فلافل ساندويتش STAFF MEAL,0.0,"","","",Recipe
A STAFF MEALS - وجبات الموظفين,2930273,Classic falafel s/w كلاسيك فلافل ساندويتش STAFF MEAL,0.0,"","","",Recipe
Pans - قلايات ,2239400,Eggs with Cheese بيض مقلي بالجبنة,17.0,"","","",Recipe
Tanoor Wraps,1881772,Falafel Mix Wrap,17.0,"","","",Recipe
Salads,1000243,Fattoush,25.0,"","","",Recipe
FF Salads,2185042,Fattoush,25.0,"","","",Recipe
CK Items - طلبيات الأفرع,2788413,FF Chili Sauce 1 kg (CK) | صوص شطة ١ كجم (مطبخ),5.0,"","","",Recipe
Bread Add Ons - إضافات الخبز المجانية و المدفوعة,2804095,FOC قطع3 خبز لبناني LEBANESE BREAD 3pcs,0.0,"","","",Recipe
Sharing boxes - البوكسات ,1415657,Frayha's Box  بوكس فريحة ,39.0,"","","",Recipe
FF Sides,2803200,Fresh Vegetables Cuts,7.0,"","","",Recipe
Eggs & Pans,2268217,Fried Nabulsi Cheese,29.0,"","","",Recipe
Wholesale - الجملة,2789090,Hummus حمص1 kg(دار التوفير Dar Al Tawfeer),11.0,"","","",Recipe
RAMADAN COMBOS,3014858,IFTAR & SUHOOR Foul & Eggs Combo,45.0,"","","",Recipe
RAMADAN COMBOS,3014855,IFTAR & SUHOOR Hummus with Meat & Shakshuka Combo,50.0,"","","",Recipe
Manakish - مناقيش,2580073,Kashkaval قشقوان,12.0,"","","",Recipe
Burger,2930253,Lebanese Beef Burger,29.0,"","","",Recipe
Burgers - البرجر,2916056,Lebanese beef burger - برجر لحم لبناني,19.0,"","","",Recipe
Sharing Boxes & Sliders,2184704,Mini Sliders BOX,45.0,"","","",Recipe
Manakish,2595240,Muhammarah Kashkaval,22.0,"","","",Recipe
FF Manakish,2803139,Muhammarah Kashkaval,22.0,"","","",Recipe
Plain Items & Sides-  علب سادة و أطباق جانبية ,2265309,Plain hummus M 350 gr   حمص ناعم سادة وسط  ,12.0,"","","",Recipe
RAMADAN COMBOS - كومبو رمضان,3010197,Ramadan Foul & Eggs Combo فول و بيض كومبو,21.0,"","","",Recipe
Salads - السلطات ,1415614,Tabbouleh تبولة ,18.0,"","","",Recipe
Add ons - إضافات,1415437, Tahini S cup علبة طحينية صغيرة,1.0,"","","",Recipe
Mini Pastries,2790682,Zaater 12 pcs,29.0,"","","",Recipe
FF Mini Pastries,2803161,Zaater 12 pcs,29.0,"","","",Recipe
Mini pastries - معجنات,2829039,Zaater 12 pcs معجنات زعتر,29.0,"","","",Recipe
---------- ALL,2880287,زيت مستعمل used oil,1.0,"","","",""
FF Beverages,2376874,Alokozay Cola Light,6.0,"","","",""
Dishes - الأطباق ,1415501,Chicken Liver pl. صحن كبدة دجاج ,26.0,"","","",Recipe
KA'AK Sesame Buns,1872193,Chicken Muskhan KA'AK,15.0,"","","",Recipe
FF Sides,2803199,Chili Pickles,6.0,"","","",Recipe
Falafels - الفلافل ,1415479,Classic Falafel s. pl. (Dine in)صحن فلافل كلاسيك صغير,6.0,"","","",Recipe
Sides,2113803,Coleslaw,9.0,"","","",Recipe
Sandwiches,1818489,Extra Falafel Sandwich,11.0,"","","",Recipe
Pockets,1319304,Falafel Mix Pocket,11.0,"","","",Recipe
Tanoor Wraps,1881770,Falafel Wrap,15.0,"","","",Recipe
Salads - السلطات ,1415613,Fattoush فتوش ,18.0,"","","",Recipe
CK Items - طلبيات الأفرع,2788412,FF Coleslaw 1 kg (CK) | سلطة كولسلو ١ كجم (مطبخ ),9.0,"","","",Recipe
Bread Add Ons - إضافات الخبز المجانية و المدفوعة,2804094, FOC خبز بوكت POCKET BREAD 1pc,0.0,"","","",Recipe
Cold Beverages,2253689,Fresh Orange Juice,15.0,"","","",Recipe
Beverages - المشروبات  ,2201090,Fresh orange juice عصير برتقال طازج,12.0,"","","",Recipe
Pans - قلايات ,2239398,Fried Cheese  جبنة مقلية,17.0,"","","",Recipe
Eggs & Pans,2268222,Fried Tomato pan,29.0,"","","",Recipe
Condiments,2113842,Garlic Paste,3.0,"","","",Recipe
Dishes,1000214,Hummus,27.0,"","","",Recipe
RAMADAN COMBOS,3014856,IFTAR & SUHOOR Foul & Fatteh Combo,50.0,"","","",Recipe
Manakish,2611064,Muhammarah Manakish,17.0,"","","",Recipe
FF Manakish,2803140,Muhammarah Manakish,17.0,"","","",Recipe
Wholesale - الجملة,2788427,Muttabal متبل1 kg(دار التوفير Dar Al Tawfeer),20.0,"","","",Recipe
FF Mini Pastries,2803162,Nabulsi Cheese 12 pcs,39.0,"","","",Recipe
Mini Pastries,2790670,Nabulsi Cheese 12 pcs,39.0,"","","",Recipe
Mini pastries - معجنات,2829040,Nabulsi Cheese 12 pcs معجنات جبنة نابلسية,39.0,"","","",Recipe
KAAK Buns - كعك بالسمسم ,2837870,Nabulsi cheese KAAK جبنة نابلسية كعك,13.0,"","","",Recipe
Pockets - البوكيت,2837437,Nabulsi cheese Pocket جبنة نابلسية بوكيت,11.0,"","","",Recipe
Sandwiches - السندويشات,2357645,Nabulsi cheese s/w جبنة نابلسية ساندويتش,9.0,"","","",Recipe
Tanoor Wraps - راب التنور  ,2837129,Nabulsi cheese Wrap جبنة نابلسية راب,15.0,"","","",Recipe
Sharing Boxes & Sliders,1658911,Pitas Combo box,59.0,"","","",Recipe
Sharing boxes - البوكسات ,1702632,Pitas Combo box سندويش كومبو بوكس,42.0,"","","",Recipe
A STAFF MEALS - وجبات الموظفين,2930274,Plain French Fries s/w بطاطا مقليةسادة ساندويتش STAFF MEAL,0.0,"","","",Recipe
S STAFF MEALS - وجبات الموظفين,2861835,Plain French Fries s/w بطاطا مقليةسادة ساندويتش STAFF MEAL,0.0,"","","",Recipe
Z STAFF MEALS - وجبات الموظفين,2902619,Plain French Fries s/w بطاطا مقليةسادة ساندويتش STAFF MEAL,0.0,"","","",Recipe
B STAFF MEALS - وجبات الموظفين ,2835953,Plain French Fries s/w بطاطا مقليةسادة ساندويتش STAFF MEAL,0.0,"","","",Recipe
Plain Items & Sides-  علب سادة و أطباق جانبية ,2460115, Plain hummus Large 500 gr حمص ناعم سادةكبير,18.0,"","","",Recipe
RAMADAN COMBOS - كومبو رمضان,3010199,Ramadan Hummus with Meat & Shakshuka Combo حمص باللحم  و شكشوكة كومبو,25.0,"","","",Recipe
Falafels,1000160,Spicy Stuffed Falafel 1 Piece,3.0,"","","",Recipe
Manakish - مناقيش,2697867,Spinach سبانخ,12.0,"","","",Recipe
Salads,1000242,Tabbouleh,25.0,"","","",Recipe
FF Salads,2185050,Tabbouleh,25.0,"","","",Recipe
Add ons - إضافات,1415439, Tatbelah S cupعلبة تتبيلة صغيرة,1.0,"","","",Recipe
---------- ALL,2175990,فتح الدرج open drawer A,0.0,"","","",""
FF Manakish,2803141,Akkawi Cheese,20.0,"","","",Recipe
Manakish,2595230,Akkawi Cheese,20.0,"","","",Recipe
Cold Beverages,2553143,Alokozay Cola Light,6.0,"","","",Finished Good
KAAK Buns - كعك بالسمسم ,2837875,Cheddar cheese falafel KAAK فلافل بالشيدر كعك,13.0,"","","",Recipe
Pockets - البوكيت,2837439,Cheddar cheese falafel Pocket فلافل بالشيدربوكيت,10.0,"","","",Recipe
Sandwiches - السندويشات,2321069,Cheddar cheese falafel s/w فلافل بالشيدر ساندويتش,9.0,"","","",Recipe
Tanoor Wraps - راب التنور  ,2837132,Cheddar cheese falafel Wrap فلافل بالشيدر راب,14.0,"","","",Recipe
Falafels,2409697,Cheddar Cheese Stuffed Falafel 1 Piece,5.0,"","","",Recipe
