category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
RQ PERFUMES,3193057,005 (370ML),330.0,"","","",""
RQ PERFUMES,3193052,01 (370ML),300.0,"","","",""
RQ PERFUMES,3193053,02 (370ML),300.0,"","","",""
RQ PERFUMES,3193055,03 (370ML),300.0,"","","",""
RQ PERFUMES,3193056,04 (370ML),300.0,"","","",""
RQ PERFUMES,3193059,07(180 ML),280.0,"","","",""
Add- Ons,2784287, 150g Extra Beef,38.0,"","","",""
CERAMIC'S,2824999,2 Teir Chip and Dip Serving Bowl,220.0,"","","",""
Add- Ons,2662604,3 EGGS,32.0,"","","",""
MAY.11 ABBAAYA,3195433,ABBAAYA BLUE (L),800.0,"","","",""
MAY.11 ABBAAYA,3195431,ABBAAYA BLUE (M),800.0,"","","",""
MAY.11 ABBAAYA,3195438,ABBAAYA BROWN,740.0,"","","",""
MAY.11 ABBAAYA,3195442,ABBAAYA MUSTARD,680.0,"","","",""
MAY.11 ABBAAYA,3195440,ABBAAYA PINK,680.0,"","","",""
MAY.11 ABBAAYA,3195441,ABBAAYA STRIPE,740.0,"","","",""
MAY.11 ABBAAYA,3195439,ABBAYA RED,740.0,"","","",""
All- Day,2547689,Acai Bowl,58.0,"","","",Recipe
Smoothies,2101996,Acai Smoothie,38.0,"","","",""
Deserts,3010054,Almond Croissant,24.0,"","","",""
ATHAR,3193728,AL TAEEB BOX,335.0,"","","",""
ESSENCE FRAGRANCE,2547697,AMBER 100ML PERFUME-ESSENCE,290.0,"","","",""
ESSENCE FRAGRANCE,2547712,AMBER SCENTED OUD BURNER-ESSENCE,310.0,"","","",""
Ourdough Hot BEVERAGES,2991131,Americano,21.0,"","","",""
Coffee,1224602,Americano,21.0,"","","",Recipe
CANDLES,2731709,Anbar Candle,140.0,"","","",""
Pressed Juices,2435074,Apple Mint,26.0,"","","",""
EXFOLIATING HAND WASH,2923031,ARABIAN EXFOLIATING HANDWASH,95.0,"","","",""
HOME FRAGRANCE,2731721,ARABIAN HOME FRAGRANCE,180.0,"","","",""
