category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
==================,3107270,++++++++++++++,0.0,"","","",""
PINZA DINE IN MENU,3044224,Aloha,49.0,"","","",""
LEGENDARY CLASSICS ,2981558,"Aloha 13""",52.0,"","",Meaty,""
DINE IN COFFEE,3047423,Americano,14.0,"","","",""
THIS WEEK'S SELECTION,3040427,Amore Alla Parmigiana Pinza,40.0,"","","",""
MEAT-FREE PINZAS (VEGETARIAN & VEGAN),2981575,Amore Alla Parmigiana Pinza,45.0,"","",Vegetarian,""
PINZA DRINKS,2981601,Aquafina Water,5.0,"","",Drinks,""
PUNZ DRINKS,2981647,Aquafina Water,5.0,"","",Drinks,""
PINZA DIPS,2981592,Bbq Dip,5.0,"","",Dips,""
PUNZ DIPS,2981641,BBQ Dip,5.0,"","",Dips,""
MEATY PINZA,2981562,Black Truffle Smashburger,65.0,"","",Meaty,""
ALL DAY PUNS,3123015,Brisket Banh Mi,39.0,"","","",""
BUILD YOUR OWN PINZA,2981555,Build Your Own Pinza,54.0,"","","",""
BUILD YOUR OWN PUNS,2981610,Build Your Own Puns,35.0,"","","",""
PINZA SIDES ,2981585,Cheese Garlic Pinza!,30.0,"","",Sides & Salads,""
DINE IN SIDES & SALAD,3047414,Chicken Bacon Ranch Salad,39.0,"","","",""
PUNZ SIDES & SALADS,2983089,Chicken Caesar Salad,35.0,"","","",""
PASTA DINE IN MENU,3102743,CHICKEN MUSHROOM ALFREDO PASTA,43.0,"","","",""
PASTA DINE IN MENU,3102739,CHICKEN PESTO PASTA,42.0,"","","",""
LEGENDARY CLASSICS ,2981570,"Classic Margherita 13""",42.0,"","",Vegetarian,""
IMG THEME PARK LLC,3129343,Copy of Panini Seeded Rye Sour Dough ( 19Cm X 9.5Cm X 2Cm ),3.5,786919103360,"","",""
KIDS MEALS,3065704,Delivery Charges,25.0,"","","",""
PUNZ SIDES & SOUPS,2981633,French Fries,18.0,"","",Vegan,""
STELLA DAILY GRIND CAFE LLC,3197392,Hand-Crafted Seeded Rye Sour Dough ( 18Cm X 9Cm X 5Cm ),2.9,"","","",""
IMG THEME PARK LLC,3129342,Hand-Crafted Seeded Rye Sour Dough ( 18Cm X 9Cm X 5Cm ),3.5,786918090500,"","",""
