category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
EVENT MENU ,2931224,AFFOGATO,30,,,,
THE BUNDLES,3102213,Box of 12 Brunettes,115,,,,
THE BUNDLES.,2935356,Box of 12 Brunettes,115,,,,
THE BUNDLES,2935322,Bundle of 4,50,,,,
Delivery Fee,2948440,Delivery Fee AED 15,15,,,,
The Special Edition Dove x BMD,3012029,Dove × BMD,30,,,,
EVENT MENU ,3022043,Dove × BMD Sugar Cookie,25,,,,
THE GREETING CARDS,2902828,Hey You!,10,,,The Greeting Cards,
THE BARS,2902814,The Blondie (Served Cold),23,,,The Bars,
THE GLUTEN FREE,2902802,The Gluten G,16,,,The Gluten Free,
THE TINS,2902808,The Lil' Titos,85,,,The Tins,
THE LEGENDS,2902792,The OG Cookie,13,,,The Legends,
THE XL COLLECTION ,3031839,The One for Gifting (The Lil Tito’s),300,,,,
THE ICE CREAMS.,2956552,The One That Started It All (Single Serving),15,,,,
THE ICE CREAMS,2902820,The One That Started It All (Single Serving),15,,,The Ice Creams,
Ziina Violet x BMD,2975327,Ziina Box of 4 Cookies,50.1,,,,
EVENT MENU ,2931194,AMERICANIO,15,,,,
THE BUNDLES,3102215,Box of 12 OGs,115,,,,
THE BUNDLES.,2935357,Box of 12 OGs,115,,,,
THE BUNDLES,2935323,Bundle of 8,90,,,,
Delivery Fee,2948441, Delivery Fee AED 20,20,,,,
THE GREETING CARDS,2902827,Happy Birthday,10,,,The Greeting Cards,
THE BARS,2902811,The Brownie (Served Cold),23,,,The Bars,
THE LEGENDS,2902793,The Brunette Cookie,13,,,The Legends,
THE ICE CREAMS,2946745, The Brunette Love Story (single serving ),15,,,,
THE ICE CREAMS.,2956542,The Brunette Love Story (single serving ),15,,,,
THE TINS,2902809,The Lil' Titos Mix,85,,,The Tins,
THE XL COLLECTION ,3043023,The One For Sharing XL (Mix),300,,,,
THE BUNDLES,2935325,Bundle of 12,120,,,,
THE BUNDLES.,2955192,Bundle of 4.,50,,,,
EVENT MENU ,2931189,CAPPUCINO,20,,,,
Delivery Fee,2948442,Delivery Fee AED 25,25,,,,
THE BARS,2902813,The Goldie (Served Cold),23,,,The Bars,
THE ICE CREAMS.,2956545,The Go Shawty It'S Yo B-Day (Single Serving),15,,,,
THE ICE CREAMS,2902822,The Go Shawty It'S Yo B-Day (Single Serving),15,,,The Ice Creams,
THE TINS,2902810,The Lil' Titos Triple Chocolate,85,,,The Tins,
